root_slp1	source	registers
Cid	dcs:434,vidyut:281,marker:1	mahabharata-dronaparva:169,mahabharata-karnaparva:116,mahabharata-bhishmaparva:69
DA	dcs:3314,vidyut:280,marker:13	rigveda:1017,atharvaveda:498,mahabharata-aranyakaparva:171
DApay	dcs:8	rigveda:6,br-up:1,manavadharmashastra:1
DAray	dcs:533	rigveda:83,atharvaveda:38,mahabharata-aranyakaparva:34
DAri	vidyut:9	rigveda:6,mahabharata-dronaparva:1,mnar-up:1
DAv	dcs:339,vidyut:8,marker:1	rigveda:51,mahabharata-bhishmaparva:40,mahabharata-dronaparva:35
DAvay	dcs:6	rigveda:2,kau-up:1,manavadharmashastra:1
DI	dcs:512,marker:15,vidyut:4	rigveda:321,manavadharmashastra:30,atharvaveda:21
DU	dcs:208,vidyut:24	rigveda:44,mahabharata-dronaparva:25,mahabharata-shalyaparva:15
DUmAy	dcs:4	mahabharata-udyogaparva:3,mahabharata-bhishmaparva:1
DUnay	dcs:2	mahabharata-aranyakaparva:1,manavadharmashastra:1
DUpay	dcs:7	mahabharata-adiparva:1,ramayana-ayodhyakanda:1,ramayana-sundarakanda:1
DUrv	dcs:5	rigveda:4,atharvaveda:1
Dam	dcs:181,marker:1	mahabharata-dronaparva:55,mahabharata-karnaparva:27,rigveda:16
Damay	dcs:1	mahabharata-karnaparva:1
Dan	dcs:22,vidyut:3	mahabharata-dronaparva:5,ramayana-aranyakanda:4,rigveda:3
DanAy	dcs:1	mahabharata-udyogaparva:1
Danay	dcs:3	rigveda:3
Danv	vidyut:58,dcs:33	rigveda:33,mahabharata-dronaparva:21,mahabharata-karnaparva:8
DarDf	dcs:1	rigveda:1
Darzay	dcs:50	mahabharata-adiparva:15,ramayana-aranyakanda:14,mahabharata-udyogaparva:4
Darzi	vidyut:2	mahabharata-adiparva:1,ramayana-aranyakanda:1
Dav	dcs:3	rigveda:3
Davalay	dcs:2	shatakatrayam:1,shatakatrayam-serebryakov:1
De	vidyut:34	rigveda:30,atharvaveda:4
Df	dcs:380,vidyut:27	rigveda:53,mahabharata-aranyakaparva:49,atharvaveda:44
Dfz	dcs:70,vidyut:7	rigveda:49,atharvaveda:5,ramayana-ayodhyakanda:3
Dits	dcs:1	rigveda:1
DiyAy	dcs:2	rigveda:2
DizaRy	dcs:1	rigveda:1
DmApay	dcs:11	mahabharata-dronaparva:5,mahabharata-aranyakaparva:3,mahabharata-bhishmaparva:1
Draj	dcs:4,vidyut:1	rigveda:5
Dukz	dcs:1	kama-sutra:1
Dukzay	dcs:1	kama-sutra:1
Dunay	dcs:2	rigveda:2
DvaMs	dcs:50,vidyut:5	ramayana-ayodhyakanda:9,ramayana-aranyakanda:9,mahabharata-dronaparva:8
DvaMsay	dcs:15	mahabharata-dronaparva:3,ramayana-ayodhyakanda:2,mahabharata-udyogaparva:2
Dvan	vidyut:4,dcs:1	rigveda:2,gitagovinda:1,mahabharata-shalyaparva:1
Dvf	dcs:2	rigveda:2
DyA	dcs:267,vidyut:5	mahabharata-aranyakaparva:23,ramayana-ayodhyakanda:21,mahabharata-bhishmaparva:18
DyApay	dcs:21	mahabharata-adiparva:5,manavadharmashastra:5,mahabharata-aranyakaparva:4
DyE	vidyut:10	mun-up:2,mahabharata-adiparva:1,mahabharata-shalyaparva:1
GAray	dcs:1	atharvaveda:1
GAtay	dcs:82	mahabharata-adiparva:10,mahabharata-dronaparva:9,ramayana-sundarakanda:6
GAti	vidyut:2	ramayana-sundarakanda:1,mahabharata-udyogaparva:1
GAway	dcs:9	hatha-yoga-pradipika:2,yoga-sutry_vyasa-bhashya:2,mahabharata-aranyakaparva:1
GUrR	dcs:17,vidyut:4	mahabharata-adiparva:5,mahabharata-dronaparva:3,buddhacharita:2
GUrRay	dcs:2	shatakatrayam:1,shatakatrayam-serebryakov:1
Garzay	dcs:1	hatha-yoga-pradipika:1
Gas	dcs:25	rigveda:11,atharvaveda:6,br-up:5
Gaw	dcs:27,vidyut:4	nyaya-bhashya:5,mahabharata-dronaparva:4,mahabharata-bhishmaparva:3
Gaway	dcs:5	gitagovinda:4,mahabharata-dronaparva:1
Gawway	dcs:15	kama-sutra:6,mahabharata-dronaparva:2,mahabharata-virataparva:1
Gf	dcs:4	rigveda:4
Gfz	dcs:5,vidyut:1	mahabharata-aranyakaparva:2,ramayana-sundarakanda:1,mahabharata-karnaparva:1
Gozay	dcs:14	ramayana-sundarakanda:4,mahabharata-virataparva:3,rigveda:2
Gozi	vidyut:2	rigveda:2
GrA	dcs:118,vidyut:16,marker:1	br-up:13,mahabharata-aranyakaparva:11,ramayana-ayodhyakanda:9
Guz	dcs:18,vidyut:8	rigveda:4,mahabharata-aranyakaparva:3,mahabharata-ashvamedhikaparva:3
I	dcs:140,vidyut:3,marker:1	rigveda:131,atharvaveda:7,hatha-yoga-pradipika:2
INKay	dcs:5	rigveda:5
IS	dcs:133,vidyut:4	rigveda:88,atharvaveda:18,shv-up:8
Ih	dcs:43,vidyut:1	bhagavadgita-prabhupada:4,manavadharmashastra:3,shatakatrayam:3
Ihay	dcs:1	mahabharata-sabhaparva:1
Ikz	dcs:605,vidyut:26,marker:1	ramayana-ayodhyakanda:67,ramayana-sundarakanda:48,mahabharata-aranyakaparva:42
Ikzay	dcs:8	atharvaveda:7,manavadharmashastra:1
Ips	dcs:85	mahabharata-dronaparva:14,mahabharata-udyogaparva:11,mahabharata-virataparva:8
Ipsay	dcs:66	mahabharata-adiparva:27,mahabharata-aranyakaparva:13,mahabharata-udyogaparva:6
Iq	dcs:92	rigveda:50,atharvaveda:18,shv-up:3
Ir	dcs:61,vidyut:30,marker:1	rigveda:37,atharvaveda:10,mahabharata-dronaparva:9
Iray	dcs:133	rigveda:21,mahabharata-aranyakaparva:18,mahabharata-dronaparva:14
Iz	dcs:39,vidyut:7	rigveda:19,ramayana-balakanda:6,ch-up:4
KAd	dcs:37,vidyut:2	rigveda:7,atharvaveda:5,mahabharata-aranyakaparva:4
KAday	dcs:1	manavadharmashastra:1
KAnay	dcs:3	mahabharata-ashvamedhikaparva:1,kama-sutra:1,ramayana-ayodhyakanda:1
KaRqay	dcs:7	gitagovinda:2,hatha-yoga-pradipika:1,gitarthasamgraha-abhinavagupta:1
Kac	dcs:1	shukasaptati:1
Kal	dcs:1	shatakatrayam-serebryakov:1
Kan	dcs:55,vidyut:5	atharvaveda:18,rigveda:7,ramayana-balakanda:6
Keday	dcs:1	mahabharata-ashvamedhikaparva:1
