lemma_slp1	source	registers
akAraRa	dcs:16	nyaya-bhashya:4,sankhya-karika:3,ramayana-ayodhyakanda:3
akArpaRya	dcs:3	shatakatrayam:1,mahabharata-ashvamedhikaparva:1,shatakatrayam-serebryakov:1
akArya	dcs:67,marker:1	ramayana-ayodhyakanda:6,ramayana-sundarakanda:5,mahabharata-aranyakaparva:5
akAryakArin	vidyut:1	manavadharmashastra:1
akAtara	vidyut:1	ramayana-aranyakanda:1
akIrti	dcs:36	bhagavadgita-prabhupada:4,gitarthasamgraha-abhinavagupta:4,bhagavadgita-1914:2
akIrtikara	vidyut:8,marker:4	bhagavadgita-1788:1,bhagavadgita-1909:1,bhagavadgity:1
akUjana	dcs:1	mahabharata-karnaparva:1
akUpAra	dcs:6,vidyut:1	rigveda:3,mahabharata-adiparva:3,atharvaveda:1
akaRwaka	vidyut:10,dcs:4	ramayana-ayodhyakanda:8,mahabharata-ashvamedhikaparva:2,ramayana-aranyakanda:1
akaTayamAna	dcs:3	mahabharata-udyogaparva:3
akaTayat	dcs:1	kama-sutra:1
akaTya	dcs:1	shukasaptati:1
akala	dcs:2	pr-up:1,shv-up:1
akalmaza	dcs:23	mahabharata-aranyakaparva:3,bhagavadgita-smirnov:2,mahabharata-dronaparva:2
akalpa	dcs:1	rigveda:1
akalpita	vidyut:4	yoga-sutry_zagumennov:1,yoga-sutry_vyasa-bhashya:1,yoga-sutry:1
akaluza	dcs:2	mahabharata-sabhaparva:1,vedartha-samgraha_ramanuja:1
akalyARa	dcs:2	mahabharata-dronaparva:1,mahabharata-udyogaparva:1
akampa	dcs:1	mahabharata-ashvamedhikaparva:1
akampita	dcs:2	mahabharata-virataparva:1,mahabharata-udyogaparva:1
akampya	vidyut:3,dcs:1	mahabharata-udyogaparva:2,mahabharata-bhishmaparva:1,buddhacharita:1
akarRIya	vidyut:1	mahabharata-karnaparva:1
akarRa	vidyut:5	bhagavadgita-radha:1,shv-up:1,kai-up:1
akarRaDAra	dcs:1	mahabharata-dronaparva:1
akarRika	dcs:2	ramayana-ayodhyakanda:1,ramayana-sundarakanda:1
akara	dcs:2	manavadharmashastra:1,atharvaveda:1
akaraRa	dcs:10	sankhya-karika:4,gitarthasamgraha-abhinavagupta:2,yoga-sutry_sharma:2
akardama	dcs:1	mahabharata-aranyakaparva:1
akarizyat	vidyut:1	mahabharata-udyogaparva:1
akarmaRya	vidyut:1	ramayana-ayodhyakanda:1
akarman	vidyut:54,dcs:27	bhagavadgita-prabhupada:10,mahabharata-bhishmaparva:7,bhagavadgita-smirnov:7
akartavya	dcs:4	ramayana-balakanda:1,mahabharata-dronaparva:1,mahabharata-udyogaparva:1
akartf	dcs:40	gitarthasamgraha-abhinavagupta:5,sankhya-karika:4,ramanuja_gitabhashya:3
akartfka	dcs:1	amaru-shataka:1
akartftva	vidyut:2	gitarthasamgraha-abhinavagupta:1,sankhya-karika:1
akaruRa	dcs:2	mahabharata-dronaparva:1,ramayana-ayodhyakanda:1
akaruRatva	vidyut:3	shatakatrayam:2,shatakatrayam-serebryakov:1
akasmAt	dcs:13	mahabharata-udyogaparva:5,mahabharata-aranyakaparva:3,ramayana-ayodhyakanda:1
akavAri	vidyut:3	rigveda:3
akava	dcs:4	rigveda:4
akavaca	vidyut:1	atharvaveda:1
akavara	vidyut:1	rigveda:1
akavi	dcs:1	rigveda:1
aketu	dcs:1	rigveda:1
akfSa	dcs:5	mahabharata-sabhaparva:2,ramayana-aranyakanda:1,mahabharata-udyogaparva:1
akfcCra	vidyut:2	mahabharata-udyogaparva:1,kama-sutra:1
akfpaRa	vidyut:2	mahabharata-udyogaparva:1,shatakatrayam:1
akftArTa	dcs:11	buddhacharita:5,mahabharata-adiparva:2,mahabharata-udyogaparva:2
akftAstra	vidyut:9,dcs:1	mahabharata-shantiparva:4,ramayana-balakanda:1,mahabharata-aranyakaparva:1
akftAstraka	dcs:2	mahabharata-dronaparva:2
akftAtman	vidyut:33,dcs:17	mahabharata-aranyakaparva:9,mahabharata-udyogaparva:6,mahabharata-adiparva:5
akfta	dcs:55	rigveda:10,manavadharmashastra:6,ramayana-aranyakanda:4
akftabudDi	dcs:3	manavadharmashastra:1,mahabharata-aranyakaparva:1,mahabharata-adiparva:1
akftabudDitva	vidyut:9,marker:6	gitarthasamgraha-abhinavagupta:2,bhagavadgita-burba:1,bhagavadgity:1
akftacUqa	vidyut:1	manavadharmashastra:1
akftajYa	dcs:3	mahabharata-udyogaparva:1,amaru-shataka:1,ramayana-ayodhyakanda:1
akftajYatA	vidyut:1	kama-sutra:1
akftakArya	vidyut:3	ramayana-sundarakanda:3
akftaka	dcs:1	mahabharata-adiparva:1
akftakftya	vidyut:1	ramayana-sundarakanda:1
akftavraRa	dcs:8	mahabharata-udyogaparva:6,mahabharata-aranyakaparva:1,mahabharata-karnaparva:1
akftrima	vidyut:2	gitarthasamgraha-abhinavagupta:1,pratyabhijna-hridaya_kshemaraja:1
akftsna	dcs:2	buddhacharita:1,br-up:1
akfttaruc	vidyut:2	rigveda:1,atharvaveda:1
akfzIvala	vidyut:1	rigveda:1
akfzRa	dcs:4	yoga-sutry_vyasa-bhashya:1,yoga-sutry:1,yoga-sutry_sharma:1
akiYcana	dcs:4	mahabharata-udyogaparva:1,manavadharmashastra:1,kumarasambhava:1
akilbiza	dcs:2	mahabharata-adiparva:1,ramayana-ayodhyakanda:1
akkA	vidyut:1	sankhya-karika:1
aklAnta	dcs:1	mahabharata-ashvamedhikaparva:1
aklIba	vidyut:5	ramayana-ayodhyakanda:2,mahabharata-aranyakaparva:1,buddhacharita:1
akleSa	dcs:1	manavadharmashastra:1
akledya	vidyut:8	mahabharata-bhishmaparva:1,bhagavadgita-erman:1,gitarthasamgraha-abhinavagupta:1
aklizwa	dcs:20	ramayana-ayodhyakanda:5,ramayana-aranyakanda:5,yoga-sutry_vyasa-bhashya:3
aklizwakArin	vidyut:11	mahabharata-karnaparva:3,mahabharata-aranyakaparva:2,mahabharata-udyogaparva:2
aklizwakarman	vidyut:34,marker:2	mahabharata-aranyakaparva:7,mahabharata-udyogaparva:4,mahabharata-adiparva:4
akoSa	dcs:1	mahabharata-udyogaparva:1
akopana	vidyut:1	mahabharata-aranyakaparva:1
akovida	vidyut:6,dcs:1	ramayana-aranyakanda:2,mahabharata-karnaparva:2,mahabharata-udyogaparva:1
akrAntA	vidyut:1	ramayana-sundarakanda:1
akrIta	vidyut:2	manavadharmashastra:2
akrUra	dcs:14	mahabharata-virataparva:2,mahabharata-svargarohanikaparva:2,mahabharata-adiparva:2
akra	dcs:3,vidyut:3	rigveda:6
akrama	dcs:7	buddhacharita:2,shatakatrayam-serebryakov:1,yoga-sutry:1
akratu	dcs:10	atharvaveda:3,rigveda:2,shv-up:2
akravihasta	vidyut:1	rigveda:1
akravyAd	vidyut:1	atharvaveda:1
akravyAda	dcs:1	manavadharmashastra:1
akriyA	dcs:1,vidyut:1	mahabharata-shalyaparva:1,mahabharata-aranyakaparva:1
akriya	dcs:20,vidyut:1	bhagavadgita-1909:4,bhagavadgita-smirnov:2,bhagavadgita-1914:2
akroDa	dcs:28	manavadharmashastra:3,mahabharata-aranyakaparva:2,bhagavadgita-prabhupada:2
akroDamaya	vidyut:1	br-up:1
akroDana	vidyut:11,dcs:1	mahabharata-aranyakaparva:4,mahabharata-adiparva:3,ramayana-ayodhyakanda:2
akruDyat	vidyut:1	mahabharata-dronaparva:1
aktu	dcs:48,vidyut:9	rigveda:53,atharvaveda:4
akuRWa	dcs:1	mahabharata-adiparva:1
akuRWita	dcs:1	raghuvamsha:1
akuRqala	vidyut:1	buddhacharita:1
akuRqalin	dcs:1	ramayana-balakanda:1
akuSala	dcs:29	yoga-sutry_vyasa-bhashya:4,ramayana-ayodhyakanda:3,mahabharata-shantiparva:2
akuha	vidyut:1	ramayana-ayodhyakanda:1
akulIna	dcs:3	ramayana-sundarakanda:1,ramayana-ayodhyakanda:1,mahabharata-adiparva:1
akula	dcs:1	pratyabhijna-hridaya_kshemaraja:1
akulatA	vidyut:2	manavadharmashastra:1,mahabharata-udyogaparva:1
akurvat	dcs:4	mahabharata-udyogaparva:2,ramayana-aranyakanda:1,mahabharata-aranyakaparva:1
akusIda	vidyut:3,dcs:1	yoga-sutry:1,yoga-sutry_zagumennov:1,yoga-sutry_sharma:1
akusuma	vidyut:1	ramayana-sundarakanda:1
akutUhala	dcs:1	buddhacharita:1
akutaScidBaya	vidyut:1	ramayana-ayodhyakanda:1
akutoBaya	vidyut:15,dcs:5	mahabharata-aranyakaparva:5,mahabharata-udyogaparva:5,ramayana-aranyakanda:2
akutsayat	dcs:2	manavadharmashastra:1,mahabharata-ashvamedhikaparva:1
akz	dcs:3,vidyut:1	rigveda:2,atharvaveda:1,mahabharata-aranyakaparva:1
akzAnta	vidyut:1	buddhacharita:1
akzAralavaRa	vidyut:2	manavadharmashastra:2
akzIRa	dcs:1	buddhacharita:1
akzIyamARa	vidyut:5	rigveda:2,mahabharata-dronaparva:1,mahabharata-udyogaparva:1
akzRayA	dcs:1	br-up:1
akza	dcs:183,marker:2	rigveda:48,atharvaveda:22,ramayana-ayodhyakanda:15
akzaDUrta	vidyut:1	mahabharata-virataparva:1
akzaRvat	dcs:3	rigveda:2,atharvaveda:1
akzadevin	vidyut:1	mahabharata-udyogaparva:1
akzadyUta	vidyut:6	mahabharata-aranyakaparva:3,mahabharata-udyogaparva:2,mahabharata-sabhaparva:1
akzaglaha	vidyut:1	mahabharata-sabhaparva:1
akzahfdaya	dcs:3,vidyut:1	mahabharata-aranyakaparva:4
akzahfdayajYa	vidyut:2	mahabharata-aranyakaparva:2
akzaja	vidyut:1	mahabharata-sabhaparva:1
akzakAma	vidyut:1	atharvaveda:1
akzaka	dcs:1	mahabharata-dronaparva:1
akzakitava	vidyut:1	mahabharata-sabhaparva:1
akzakuSala	vidyut:1	mahabharata-sabhaparva:1
akzamAlA	dcs:6	mahabharata-udyogaparva:2,manavadharmashastra:1,mahabharata-aranyakaparva:1
akzamAtra	vidyut:1	mahabharata-aranyakaparva:1
akzama	dcs:4	ramayana-sundarakanda:2,raghuvamsha:1,gitagovinda:1
akzamin	vidyut:2,dcs:1	shatakatrayam-serebryakov:1,mahabharata-udyogaparva:1,shatakatrayam:1
akzapAda	dcs:3	nyaya-bhashya:1,vedartha-samgraha_ramanuja:1,sankhya-karika:1
akzaparAjaya	vidyut:2	mahabharata-aranyakaparva:1,atharvaveda:1
akzara	dcs:354	ch-up:24,bhagavadgita-smirnov:20,mahabharata-bhishmaparva:20
akzasUtra	dcs:1	kumarasambhava:1
akzatA	dcs:1	ramayana-sundarakanda:1
akzata	dcs:21,vidyut:1	ramayana-sundarakanda:5,mahabharata-karnaparva:2,manavadharmashastra:2
akzatattvavid	vidyut:1	mahabharata-sabhaparva:1
akzatayoni	vidyut:2,dcs:1	manavadharmashastra:3
akzavatI	vidyut:6,dcs:4	mahabharata-adiparva:4,mahabharata-udyogaparva:3,mahabharata-aranyakaparva:2
akzavftta	vidyut:2	atharvaveda:2
akzavid	vidyut:4	mahabharata-sabhaparva:4
akzaya	dcs:107	mahabharata-aranyakaparva:16,manavadharmashastra:10,mahabharata-udyogaparva:8
akzayatva	vidyut:1	mahabharata-dronaparva:1
akzayavawa	vidyut:3	mahabharata-aranyakaparva:3
akzayya	dcs:37,vidyut:1	mahabharata-adiparva:6,mahabharata-aranyakaparva:5,ramayana-ayodhyakanda:4
akzetra	dcs:1	manavadharmashastra:1
akzetravid	vidyut:2	rigveda:2
akzetrin	vidyut:2	manavadharmashastra:2
akzi	dcs:86	atharvaveda:23,rigveda:8,mai-up:6
akziRvat	dcs:1	manavadharmashastra:1
akzipat	dcs:4	rigveda:4
akzisaMtarjana	vidyut:2	mahabharata-udyogaparva:2
akzitAvasu	dcs:1	rigveda:1
akzita	dcs:42	rigveda:20,atharvaveda:20,ramayana-balakanda:1
akziti	dcs:11	atharvaveda:5,rigveda:4,br-up:1
akzoBya	dcs:18,vidyut:5	ramayana-ayodhyakanda:5,mahabharata-dronaparva:4,mahabharata-udyogaparva:3
akzu	dcs:3	rigveda:2,atharvaveda:1
akzuDya	dcs:2	atharvaveda:2
akzudra	vidyut:7	mahabharata-adiparva:2,mahabharata-udyogaparva:2,ramayana-balakanda:1
akzya	dcs:1	atharvaveda:1
alABa	dcs:19	manavadharmashastra:3,bhagavadgita-prabhupada:2,mahabharata-aranyakaparva:2
alAGava	vidyut:1	manavadharmashastra:1
alAbU	dcs:1	kama-sutra:1
alAbu	dcs:3	atharvaveda:2,manavadharmashastra:1
alAtAkzI	dcs:1	mahabharata-shalyaparva:1
alAta	dcs:3	ramayana-aranyakanda:2,mahabharata-shalyaparva:1
alAtfRa	vidyut:2	rigveda:2
alAyuDa	dcs:23	mahabharata-dronaparva:15,mahabharata-shalyaparva:4,mahabharata-udyogaparva:2
alAyya	vidyut:2	rigveda:2
alIka	dcs:8	ramayana-ayodhyakanda:2,mahabharata-ashramavasikaparva:2,ramayana-sundarakanda:1
alUkza	dcs:2	tai-up:2
ala	dcs:1	shatakatrayam:1
alaBamAna	vidyut:6	kama-sutra:2,ramanuja_gitabhashya:2,shukasaptati:2
alaBya	dcs:6	kama-sutra:3,mahabharata-virataparva:1,mahabharata-udyogaparva:1
alaMbala	vidyut:6,dcs:1	mahabharata-dronaparva:7
alaMgrAsa	dcs:2	pratyabhijna-hridaya_kshemaraja:2
alaMkAra	dcs:39,vidyut:1	kama-sutra:10,manavadharmashastra:7,ramayana-ayodhyakanda:3
alaMkaraRa	dcs:2	kama-sutra:1,shatakatrayam-serebryakov:1
alaMkf	dcs:24	ramayana-sundarakanda:9,kama-sutra:4,atharvaveda:3
alaMkfta	vidyut:65	mahabharata-adiparva:15,mahabharata-dronaparva:7,mahabharata-karnaparva:7
alabDa	dcs:6	manavadharmashastra:3,mahabharata-adiparva:1,yoga-sutry:1
alabDaBUmikatva	vidyut:2	yoga-sutry_zagumennov:1,yoga-sutry_vyasa-bhashya:1
alabDavat	dcs:1	mahabharata-dronaparva:1
alajja	dcs:2,vidyut:1	mahabharata-aranyakaparva:2,gitagovinda:1
alakA	dcs:5	megha-duta:3,mahabharata-adiparva:1,mahabharata-shalyaparva:1
alakADipa	dcs:2	mahabharata-shalyaparva:2
alaka	dcs:19	megha-duta:4,kama-sutra:3,raghuvamsha:2
alakanandA	dcs:1	mahabharata-adiparva:1
alakeSvara	vidyut:1	raghuvamsha:1
alakta	dcs:2	ramayana-ayodhyakanda:2
alaktaka	dcs:7	kama-sutra:5,gitagovinda:2
alakzaRa	dcs:11	yoga-sutry_vyasa-bhashya:4,manavadharmashastra:2,raghuvamsha:1
alakzita	dcs:14	nyaya-bhashya:4,mahabharata-adiparva:3,mahabharata-dronaparva:2
alakzmI	dcs:6	mahabharata-aranyakaparva:4,ramayana-aranyakanda:2
alakzmIkatama	dcs:1	mahabharata-udyogaparva:1
alakzya	dcs:6	ramayana-balakanda:2,ramayana-aranyakanda:1,gitarthasamgraha-abhinavagupta:1
alakzyajanmatA	vidyut:1	kumarasambhava:1
alakzyamARa	dcs:2	mahabharata-dronaparva:1,raghuvamsha:1
alam	dcs:93	mahabharata-udyogaparva:12,mahabharata-aranyakaparva:10,ramayana-sundarakanda:10
alambusA	dcs:7	mahabharata-virataparva:2,ramayana-ayodhyakanda:2,mahabharata-shalyaparva:2
alambuzA	dcs:1	ramayana-ayodhyakanda:1
alambuza	dcs:4	mahabharata-dronaparva:4
alar	dcs:3	rigveda:3
alarka	dcs:11	mahabharata-ashvamedhikaparva:4,ramayana-ayodhyakanda:3,mahabharata-shantiparva:2
alasAlA	dcs:2	atharvaveda:2
alasa	dcs:28	mahabharata-udyogaparva:3,bhagavadgita-prabhupada:2,gitagovinda:2
alepa	vidyut:1	mai-up:1
algaRqu	dcs:2	atharvaveda:2
ali	dcs:1	gitagovinda:1
aliMSa	dcs:2	atharvaveda:2
aliNga	dcs:21	mai-up:4,mahabharata-ashvamedhikaparva:3,kat-up:2
aliNgin	vidyut:1	manavadharmashastra:1
aliYjara	dcs:2,vidyut:1	mahabharata-aranyakaparva:3
alika	dcs:1	gitagovinda:1
aliklava	dcs:2,vidyut:2	atharvaveda:4
alina	vidyut:1	rigveda:1
aloBa	dcs:1	mahabharata-aranyakaparva:1
aloha	vidyut:1	mahabharata-adiparva:1
alohita	dcs:2	br-up:1,pr-up:1
alokasAmAnya	vidyut:1	kumarasambhava:1
alokya	vidyut:1	mahabharata-aranyakaparva:1
alola	dcs:1	gitagovinda:1
alolupa	vidyut:3	mahabharata-adiparva:1,mahabharata-udyogaparva:1,mahabharata-karnaparva:1
alolupatva	vidyut:1	shv-up:1
aloluptva	vidyut:14	bhagavadgita-prabhupada:2,bhagavadgita-1914:1,bhagavadgity:1
alomaka	dcs:3	br-up:2,manavadharmashastra:1
alopa	vidyut:1	nyaya-bhashya:1
alpAhAra	vidyut:4	hatha-yoga-pradipika:2,ramayana-sundarakanda:1,yotat-up:1
alpAvaSeza	vidyut:1	mahabharata-dronaparva:1
alpAvaSizwa	vidyut:4	mahabharata-aranyakaparva:2,mahabharata-dronaparva:1,mahabharata-virataparva:1
alpAvaSizwatva	vidyut:1	mahabharata-adiparva:1
alpAyus	vidyut:3	mahabharata-aranyakaparva:2,manavadharmashastra:1
alpIyas	dcs:5	nyaya-bhashya:2,manavadharmashastra:2,mahabharata-bhishmaparva:1
alpa	dcs:110,marker:1	ramayana-ayodhyakanda:9,manavadharmashastra:8,mahabharata-aranyakaparva:8
alpaBAgya	dcs:8,vidyut:2	ramayana-sundarakanda:5,mahabharata-adiparva:2,ramayana-balakanda:2
alpaBAgyatara	dcs:2	mahabharata-aranyakaparva:2
alpaDana	vidyut:3	manavadharmashastra:2,mahabharata-udyogaparva:1
alpaPala	vidyut:2	mahabharata-aranyakaparva:1,kama-sutra:1
alpaSarIra	vidyut:1	ramayana-sundarakanda:1
alpaSas	dcs:3	manavadharmashastra:2,mahabharata-adiparva:1
alpaSayu	dcs:2	atharvaveda:2
alpaSeza	vidyut:4	mahabharata-adiparva:3,ramayana-sundarakanda:1
alpabADa	vidyut:1	mahabharata-aranyakaparva:1
alpabala	vidyut:2	ramayana-balakanda:1,mahabharata-aranyakaparva:1
alpabalaprARa	vidyut:1	mahabharata-aranyakaparva:1
alpabudDi	marker:9,vidyut:9,dcs:3	mahabharata-striparva:3,bhagavadgita-prabhupada:2,mahabharata-aranyakaparva:2
alpadakziRa	vidyut:2	manavadharmashastra:2
alpadarSana	vidyut:1	mahabharata-sabhaparva:1
alpakArya	vidyut:1	mahabharata-aranyakaparva:1
alpaka	dcs:5,vidyut:1	mahabharata-aranyakaparva:3,mahabharata-sabhaparva:1,mahabharata-udyogaparva:1
alpameDas	marker:7,dcs:6,vidyut:4	bhagavadgita-1909:2,bhagavadgita-prabhupada:2,bhagavadgita-1914:1
alpapaSu	vidyut:1	atharvaveda:1
alpapuRya	vidyut:3	ramayana-sundarakanda:1,mahabharata-aranyakaparva:1,mahabharata-adiparva:1
alpasAra	vidyut:2	manavadharmashastra:1,mahabharata-aranyakaparva:1
alpasattva	vidyut:1	mahabharata-bhishmaparva:1
alpatA	dcs:1	mahabharata-udyogaparva:1
alpatara	dcs:9	nyaya-bhashya:4,mahabharata-bhishmaparva:1,mahabharata-dronaparva:1
alpatva	dcs:1	shatakatrayam:1
alpavat	vidyut:1	mahabharata-aranyakaparva:1
alpavidya	vidyut:1	manavadharmashastra:1
alpavizaya	vidyut:1	raghuvamsha:1
alpetaratva	vidyut:1	raghuvamsha:1
alubDa	vidyut:7	manavadharmashastra:3,mahabharata-aranyakaparva:1,mahabharata-ashvamedhikaparva:1
alupta	dcs:1	raghuvamsha:1
am	dcs:12,vidyut:7	rigveda:11,atharvaveda:5,mahabharata-dronaparva:1
amA	dcs:14	rigveda:8,atharvaveda:3,ch-up:2
amAMsa	dcs:2	mahabharata-aranyakaparva:1,mahabharata-ashvamedhikaparva:1
amAjur	dcs:1	rigveda:1
amAkzika	dcs:1	mahabharata-udyogaparva:1
amAna	dcs:1	mahabharata-udyogaparva:1
amAnava	vidyut:2	ch-up:2
amAnayat	dcs:1	mahabharata-aranyakaparva:1
amAnin	vidyut:1	mahabharata-ashvamedhikaparva:1
amAnitA	vidyut:1	mahabharata-virataparva:1
amAnita	dcs:1	mahabharata-udyogaparva:1
amAnitva	vidyut:17	bhagavadgita-1914:2,bhagavadgita-sementsov:2,bhagavadgita-prabhupada:2
amAnuzI	dcs:1	rigveda:1
amAnuza	dcs:35	mahabharata-dronaparva:8,rigveda:6,mahabharata-adiparva:5
amArga	dcs:6	ramayana-aranyakanda:2,ramayana-sundarakanda:1,mahabharata-aranyakaparva:1
amArjana	dcs:1	mahabharata-aranyakaparva:1
amAt	dcs:3	rigveda:3
amAtra	dcs:4	man-up:2,br-up:1,rigveda:1
amAtya	dcs:83	ramayana-ayodhyakanda:21,mahabharata-udyogaparva:12,mahabharata-adiparva:8
amAvAsI	dcs:4	mahabharata-bhishmaparva:2,mahabharata-shalyaparva:1,mahabharata-mausalaparva:1
amAvAsyA	dcs:24	atharvaveda:9,mahabharata-adiparva:3,manavadharmashastra:3
amAvAsya	dcs:1	atharvaveda:1
amAyA	dcs:5	manavadharmashastra:3,mahabharata-adiparva:1,mahabharata-udyogaparva:1
amAyin	vidyut:1	mahabharata-aranyakaparva:1
amBas	dcs:135	mahabharata-adiparva:15,mahabharata-aranyakaparva:9,mahabharata-dronaparva:8
amBfRa	vidyut:2	rigveda:2
amBiRI	dcs:1	br-up:1
amBoDara	dcs:2	ramayana-sundarakanda:1,buddhacharita:1
amBoDi	dcs:2	shatakatrayam:1,shatakatrayam-serebryakov:1
amBoda	dcs:3	mahabharata-karnaparva:2,ramayana-sundarakanda:1
amBoja	dcs:5	shatakatrayam-serebryakov:2,shatakatrayam:1,gitagovinda:1
amBojinI	dcs:3	shatakatrayam:2,shatakatrayam-serebryakov:1
amBomuc	dcs:1	amaru-shataka:1
amBoniDi	dcs:2	shukasaptati:1,mahabharata-dronaparva:1
amImAMsya	vidyut:1	manavadharmashastra:1
amIvA	dcs:24	rigveda:18,atharvaveda:6
amIvacAtana	vidyut:6	atharvaveda:3,rigveda:3
amIvahan	vidyut:4	rigveda:4
amUQa	vidyut:12	nyaya-bhashya:2,mahabharata-bhishmaparva:1,bhagavadgita-erman:1
amUla	dcs:3	ch-up:2,atharvaveda:1
amUra	dcs:28	rigveda:28
amUrta	dcs:13	br-up:5,mai-up:3,vedartha-samgraha_ramanuja:2
amUrtarayasa	vidyut:1	mahabharata-aranyakaparva:1
amUrtimat	vidyut:1	mai-up:1
ama	dcs:21	ch-up:10,rigveda:8,br-up:3
amaDura	dcs:1	mahabharata-sabhaparva:1
amaDyama	dcs:3	mahabharata-bhishmaparva:2,rigveda:1
amaNgala	dcs:1	raghuvamsha:1
amaRqita	vidyut:2	mahabharata-aranyakaparva:1,ramayana-sundarakanda:1
amahIyamAna	vidyut:1	rigveda:1
amala	dcs:54	mahabharata-aranyakaparva:5,mahabharata-adiparva:3,hatha-yoga-pradipika:3
amalatara	dcs:1	gitagovinda:1
amalina	vidyut:1	kama-sutra:1
amama	vidyut:1	manavadharmashastra:1
amamri	dcs:1	atharvaveda:1
amanIBAva	vidyut:1	mai-up:1
amanas	dcs:6	br-up:2,ramayana-ayodhyakanda:1,ramayana-aranyakanda:1
amanaska	vidyut:2,dcs:1	hatha-yoga-pradipika:1,kat-up:1,devi-gita:1
amanda	dcs:3	gitagovinda:2,rigveda:1
amanojYa	dcs:5	ramayana-ayodhyakanda:5
amantf	vidyut:2	ch-up:1,mai-up:1
amantra	dcs:2	manavadharmashastra:2
amantraka	dcs:1	manavadharmashastra:1
amantravid	vidyut:1	manavadharmashastra:1
amantu	dcs:1	rigveda:1
amanuzya	dcs:1	ramayana-ayodhyakanda:1
amanuzyanizevita	vidyut:1	mahabharata-aranyakaparva:1
amanyamAna	vidyut:2,dcs:1	rigveda:2,mahabharata-udyogaparva:1
amanyuta	vidyut:1	atharvaveda:1
amarADipa	vidyut:2	ramayana-ayodhyakanda:2
amarAvatI	dcs:12	ramayana-sundarakanda:2,ramayana-aranyakanda:2,ramayana-balakanda:2
amarDat	dcs:1	rigveda:1
amarI	dcs:4	yotat-up:2,hatha-yoga-pradipika:2
amara	dcs:85	mahabharata-adiparva:16,mahabharata-dronaparva:11,ramayana-ayodhyakanda:8
amaraRa	dcs:1	manavadharmashastra:1
amaradviz	dcs:2	mahabharata-shalyaparva:2
amaragaRanAleKya	vidyut:1	raghuvamsha:1
amaragarBa	vidyut:1	mahabharata-adiparva:1
amaralokatA	vidyut:1	manavadharmashastra:1
amarapraBa	vidyut:5	mahabharata-aranyakaparva:4,mahabharata-virataparva:1
amarapraKya	vidyut:5	mahabharata-adiparva:2,ramayana-balakanda:1,mahabharata-aranyakaparva:1
amararAja	dcs:2,marker:1	mahabharata-shalyaparva:2,mahabharata-dronaparva:1
amarastrI	dcs:1	mahabharata-sabhaparva:1
amaratA	dcs:3	mahabharata-udyogaparva:1,mahabharata-ashvamedhikaparva:1,mahabharata-sauptikaparva:1
amaratawinI	dcs:1	shatakatrayam-serebryakov:1
amaratva	vidyut:13	hatha-yoga-pradipika:3,mahabharata-aranyakaparva:3,mahabharata-ashvamedhikaparva:2
amaravAruRI	dcs:2	hatha-yoga-pradipika:2
amaravarRin	vidyut:2	mahabharata-adiparva:2
amaravat	vidyut:2	mahabharata-aranyakaparva:1,mahabharata-udyogaparva:1
amareSa	vidyut:2	devi-gita:2
amareSvara	dcs:4	mahabharata-adiparva:2,ramayana-balakanda:1,mahabharata-karnaparva:1
amarman	dcs:2	rigveda:2
amaropama	vidyut:6	mahabharata-aranyakaparva:4,mahabharata-adiparva:2
amarta	dcs:2	rigveda:2
amartya	dcs:100	rigveda:77,atharvaveda:14,mahabharata-adiparva:4
amartyaBAva	vidyut:1	raghuvamsha:1
amartyatA	vidyut:2	mahabharata-aranyakaparva:1,mahabharata-ashvamedhikaparva:1
amartyatva	vidyut:1	mahabharata-mahaprasthanikaparva:1
amaryAda	dcs:10	ramayana-ayodhyakanda:3,ramayana-aranyakanda:3,mahabharata-udyogaparva:2
amarza	dcs:65	mahabharata-dronaparva:11,mahabharata-udyogaparva:7,mahabharata-sabhaparva:6
amarzaRIya	dcs:1	mahabharata-dronaparva:1
amarzaRa	dcs:79	mahabharata-udyogaparva:16,mahabharata-bhishmaparva:12,mahabharata-dronaparva:10
amarzaja	vidyut:1	mahabharata-aranyakaparva:1
amarzayat	dcs:1	mahabharata-dronaparva:1
amarzin	vidyut:22,dcs:9	mahabharata-dronaparva:11,mahabharata-udyogaparva:6,mahabharata-aranyakaparva:4
amarzita	vidyut:34,dcs:11	mahabharata-dronaparva:17,mahabharata-adiparva:11,ramayana-ayodhyakanda:3
amasfRa	vidyut:1	gitagovinda:1
amata	vidyut:3	kena-up:2,ch-up:1
amati	dcs:27,vidyut:3	rigveda:25,atharvaveda:3,manavadharmashastra:2
amatra	dcs:7	rigveda:7
amatsara	vidyut:7,dcs:1	mahabharata-aranyakaparva:3,mahabharata-shantiparva:2,manavadharmashastra:1
amavat	dcs:11	rigveda:10,atharvaveda:1
amavizRu	vidyut:2	rigveda:2
ambA	dcs:53	ramayana-ayodhyakanda:14,mahabharata-udyogaparva:9,devi-gita:6
ambAlikA	dcs:5	mahabharata-udyogaparva:3,mahabharata-adiparva:2
ambUrmigata	vidyut:1	buddhacharita:1
ambarIza	dcs:26	ramayana-balakanda:8,mahabharata-ashvamedhikaparva:3,buddhacharita:2
ambara	dcs:126	ramayana-sundarakanda:26,mahabharata-dronaparva:19,mahabharata-adiparva:18
